term,tc_score
窃听,1.2184
OL,1.2183
尤为重要,1.2183
程序开发,1.2178
投入使用,1.2178
黑客技术,1.2178
系统漏洞,1.2178
灵活运用,1.2178
断电,1.2178
编写,1.2172
文化,1.2171
交流,1.2171
补充,1.2169
白银,1.2168
家庭,1.2168
联通,1.2168
局面,1.2168
促使,1.2168
出来,1.2167
类似,1.2164
全局,1.2164
结论,1.2163
表现,1.2159
挑战,1.2159
放置,1.2159
源端,1.2157
机会,1.2156
闭合,1.2155
遭受,1.2153
加以,1.2152
发出,1.2152
论文,1.2152
页面,1.2152
动作,1.2150
入口,1.2150
规范,1.2149
修复,1.2149
出去,1.2148
框架,1.2147
差异,1.2145
链接,1.2145
杀毒,1.2144
引导,1.2143
协同,1.2138
应答,1.2137
网通,1.2136
经济社会,1.2133
融合,1.2132
拥有,1.2132
USES,1.2131
系统故障,1.2131
资源共享,1.2131
电力公司,1.2131
培训教材,1.2131
水利水电,1.2131
加上,1.2131
属性,1.2130
并行,1.2126
创建,1.2126
免费,1.2124
名称,1.2123
分流,1.2120
测控,1.2120
NP,1.2120
链表,1.2119
消极因素,1.2119
证书,1.2117
选用,1.2117
服务类型,1.2116
全部,1.2116
推动,1.2115
无需,1.2114
Wuxi,1.2113
资金投入,1.2113
科学合理,1.2113
显示,1.2113
杭州,1.2112
root,1.2110
系统资源,1.2110
保护措施,1.2110
时代背景,1.2110
DDoS,1.2110
即时通讯,1.2110
from,1.2105
激励,1.2105
病毒感染,1.2104
产品种类,1.2104
系统结构,1.2104
help,1.2104
处理速度,1.2103
主动攻击,1.2103
关联,1.2101
界面,1.2099
分解,1.2098
基本功能,1.2097
放行,1.2097
从事,1.2096
提供数据,1.2094
终端设备,1.2094
层次结构,1.2094
程序设计,1.2094
硕士学位,1.2094
risk,1.2091
core,1.2090
区分,1.2089
武汉大学,1.2088
open,1.2088
Grid,1.2087
被盗,1.2087
Wang,1.2086
多种类型,1.2086
will,1.2084
电脑主机,1.2084
公共服务,1.2084
网络设施,1.2084
关键因素,1.2084
优惠政策,1.2084
传输速度,1.2084
Bing,1.2083
very,1.2081
side,1.2081
设计模式,1.2081
系统配置,1.2081
二者,1.2080
实例,1.2079
株洲,1.2078
链式,1.2078
架构设计,1.2076
flow,1.2073
QEMU,1.2073
done,1.2073
Your,1.2073
飞速发展,1.2073
数据通信,1.2072
安全卫士,1.2072
严重威胁,1.2070
关键在于,1.2069
触发,1.2068
木马病毒,1.2068
数据备份,1.2066
并发,1.2065
Meng,1.2065
User,1.2062
HOST,1.2062
传输速率,1.2060
数字信号,1.2060
SRAM,1.2060
数据处理,1.2060
Quar,1.2060
师范大学,1.2059
part,1.2058
Open,1.2058
管理中心,1.2056
原始数据,1.2053
PENG,1.2050
网络拓扑,1.2050
show,1.2046
利用网络,1.2046
关键问题,1.2046
协同工作,1.2044
junk,1.2043
服务器端,1.2040
国际标准,1.2039
计算环境,1.2039
加密传输,1.2039
数据管理,1.2039
列车运行,1.2039
CRRC,1.2039
退出,1.2039
CHEN,1.2037
dressTranslation,1.2037
组网,1.2029
错误,1.2023
interconnections,1.2019
配额,1.2018
下发,1.2018
含义,1.2018
模拟,1.2018
集团股份,1.2009
Site,1.2009
LDAP,1.2009
产品数量,1.2009
测试工具,1.2009
Land,1.2009
databasefirewall,1.2005
characteristics,1.1837
Countermeasures,1.1779
Identification,1.1575
Meteorological,1.1474
Rehabilitation,1.1474
HY57V561620FTP,1.1469
Virtualization,1.1462
virtualization,1.1462
SouthwestMinzu,1.1459
Classification,1.1442
corresponding,1.1218
通讯,1.1198
Petrification,1.1187
Deterministic,1.1159
eavesdropping,1.1153
Securityatthe,1.1153
Survivability,1.1153
comprehensive,1.1148
Comprehensive,1.1138
Inspectionona,1.1131
disadvantages,1.1131
Snortlptables,1.1131
collaboration,1.1121
Demilitarized,1.1106
Construction,1.0841
achievements,1.0814
distribution,1.0813
Developments,1.0813
Cryptography,1.0813
transmission,1.0806
interception,1.0806
ADistributed,1.0806
Arehiteeture,1.0806
Conferenee11,1.0806
andReporting,1.0792
Cyberattacks,1.0792
publications,1.0792
conservation,1.0791
localization,1.0791
Mechatronics,1.0785
inadequacies,1.0785
Heilongjiang,1.0777
embezzlement,1.0777
GJE201302139,1.0777
interactions,1.0774
accelerating,1.0774
reverseproxy,1.0759
个人,1.0699
原始,1.0680
interaction,1.0509
are,1.0452
Mcaltimedia,1.0445
Qiandongnan,1.0438
Polytechnic,1.0438
outstanding,1.0438
danqanbaohu,1.0436
limitations,1.0436
Categorical,1.0436
proceedings,1.0436
feasibility,1.0435
established,1.0435
enterprises,1.0435
Charlespa0e,1.0430
Topological,1.0430
suggestions,1.0430
Electronics,1.0425
credentials,1.0415
Corsoldaion,1.0415
Intelligent,1.0415
positioning,1.0415
researching,1.0408
Transceiver,1.0408
Integration,1.0408
develppment,1.0408
UNREACHICMP,1.0408
AddR2spFunc,1.0408
OptTreeNode,1.0408
InitPlugins,1.0408
MatchTarget,1.0408
measurement,1.0400
locomotives,1.0398
environment,1.0398
Destination,1.0383
Deployment,1.0119
Industrial,1.0082
enterprise,1.0079
comparison,1.0052
MuDtimediA,1.0032
production,1.0032
intrusions,1.0032
strategies,1.0032
monitoring,1.0032
MCDtimediA,1.0032
accordance,1.0025
introduced,1.0025
Netherland,1.0024
Enterprise,1.0023
deployment,1.0023
investment,1.0023
frequently,1.0023
Prevention,1.0021
javaApplet,1.0018
authorized,1.0017
ultimately,1.0017
Properties,1.0017
Department,1.0017
disclosure,1.0017
reasonably,1.0017
continuous,1.0013
throughput,1.0013
K9F1208U0M,1.0013
WebService,1.0006
Laboratory,1.0002
Commission,1.0002
evaluation,1.0002
alleviates,1.0002
Opensource,1.0002
experiment,1.0002
rooteAlice,1.0002
Connecting,1.0002
tenational,1.0002
cipherdyne,1.0002
CIPHERDYNE,1.0002
profession,1.0002
importance,1.0002
estimation,1.0002
multimodal,1.0002
Srivastava,1.0002
irrelevant,0.9996
q466729206,0.9996
Integrated,0.9996
makinstall,0.9996
extensions,0.9996
Profession,0.9988
researches,0.9988
prevention,0.9988
YFB4300600,0.9985
Comparison,0.9985
cyberspace,0.9985
generation,0.9985
operations,0.9985
efficiency,0.9985
boundaries,0.9985
classifies,0.9985
summarizes,0.9985
mainstream,0.9985
dragattack,0.9970
Addressing,0.9970
Structured,0.9970
NetMeeting,0.9970
Key,0.9918
关键点,0.9693
预见性,0.9687
大面积,0.9687
私密性,0.9687
适应性,0.9687
付俊芹,0.9687
可用性,0.9670
个性化,0.9665
高质量,0.9664
形式化,0.9664
可能性,0.9660
any,0.9650
but,0.9646
Fei,0.9641
隐秘性,0.9641
曾袁虎,0.9641
CVT,0.9641
变电站,0.9641
质量关,0.9641
第三版,0.9641
特高压,0.9641
攻击性,0.9635
客户机,0.9633
会话层,0.9632
顾奎业,0.9628
供应商,0.9628
attention,0.9626
知情者,0.9625
Kim,0.9625
王志红,0.9623
郭芳园,0.9619
Vol,0.9616
涉及面,0.9615
工作站,0.9614
傻瓜化,0.9614
离不开,0.9613
专用网,0.9613
葛耀武,0.9613
芯片级,0.9613
意味着,0.9612
张艳斌,0.9608
intercept,0.9607
趋向于,0.9606
相结合,0.9604
x86,0.9604
MHZ,0.9604
Boa,0.9604
序列号,0.9598
湖北省,0.9597
USB,0.9597
Combining,0.9596
reference,0.9596
便捷性,0.9596
RSA,0.9595
发送给,0.9594
due,0.9594
bad,0.9594
取决于,0.9594
实用性,0.9594
时效性,0.9594
经济网,0.9594
强制性,0.9594
波特率,0.9594
安装盘,0.9594
EXE,0.9594
USA,0.9594
浙江省,0.9590
被称作,0.9590
SDN,0.9590
DNS,0.9589
was,0.9587
可行性,0.9587
ACL,0.9584
修改稿,0.9584
贺春林,0.9583
崔梦天,0.9583
精细化,0.9583
AES,0.9583
CST,0.9583
tcp,0.9583
NIC,0.9583
Jan,0.9583
CPE,0.9583
EDU,0.9583
cpu,0.9583
综合性,0.9580
真实性,0.9579
数据源,0.9579
大容量,0.9578
PHY,0.9578
特征值,0.9578
different,0.9576
CUI,0.9575
黑龙江,0.9575
复杂性,0.9573
Yao,0.9573
局限于,0.9572
白名单,0.9572
Yan,0.9571
用户量,0.9570
机界面,0.9570
源代码,0.9569
头文件,0.9569
文件名,0.9569
guarantee,0.9569
SECUJRITY,0.9568
discusses,0.9568
Proposals,0.9568
Protocols,0.9568
Agreement,0.9568
Asiacrypt,0.9568
seriously,0.9567
字符串,0.9563
comparing,0.9561
WeiboGong,0.9561
scenarios,0.9561
extensive,0.9561
confusion,0.9561
转发给,0.9560
密码学,0.9560
expensive,0.9557
difficult,0.9557
processor,0.9557
optimizes,0.9557
S3C2440I7,0.9557
破坏性,0.9553
Platforms,0.9550
Mingliang,0.9550
Currently,0.9550
邹智荣,0.9549
数字化,0.9549
ZOU,0.9549
可信性,0.9549
Sip,0.9549
Dip,0.9549
合法性,0.9549
间通信,0.9549
轻量化,0.9549
LIU,0.9549
TCN,0.9549
potential,0.9546
according,0.9546
obviously,0.9546
firewalld,0.9546
connected,0.9546
Inwentory,0.9546
forrester,0.9546
天融信,0.9546
Education,0.9546
According,0.9546
analyzing,0.9546
interface,0.9546
NetworkAd,0.9546
Heidemann,0.9546
Geography,0.9546
Niculescu,0.9546
Societies,0.9546
malicious,0.9540
presented,0.9540
Processor,0.9540
Multicore,0.9540
developed,0.9540
discussed,0.9540
Templates,0.9540
OptFpList,0.9540
RspFpList,0.9540
委员会,0.9535
Computers,0.9531
研究所,0.9531
Flowchart,0.9529
Strategic,0.9529
Committee,0.9529
networked,0.9529
transport,0.9529
standards,0.9529
processes,0.9529
currently,0.9529
including,0.9529
研究院,0.9519
缩略语,0.9519
网址库,0.9519
返回值,0.9519
安全值,0.9519
操作性,0.9519
依赖于,0.9519
对应性,0.9519
总流量,0.9519
序列化,0.9519
基本型,0.9519
Automatic,0.9514
Scripting,0.9514
Xenserver,0.9514
Cyber,0.9398
变异,0.9355
com,0.9316
培训,0.9296
能耗,0.9236
增长,0.9235
本质,0.9216
可疑,0.9213
组织,0.9211
阻挡,0.9210
概率,0.9210
抵挡,0.9208
保留,0.9208
补丁,0.9199
限度,0.9198
站点,0.9188
不用,0.9186
作者,0.9180
分割,0.9180
电容,0.9177
高度,0.9176
载体,0.9175
提交,0.9174
变得,0.9173
地位,0.9173
探析,0.9173
投资,0.9170
骆兵,0.9168
实行,0.9167
间谍,0.9164
改动,0.9163
实体,0.9162
专业,0.9162
福建,0.9158
易于,0.9155
卫星,0.9155
Patterns,0.9153
人类,0.9151
李菲,0.9149
容量,0.9149
内存,0.9149
反映,0.9145
抽样,0.9145
PC,0.9144
绿色,0.9144
定位,0.9144
放在,0.9143
损失,0.9142
层层,0.9142
字段,0.9140
素质,0.9138
受限,0.9138
专门,0.9137
购买,0.9137
做到,0.9136
费用,0.9136
指令,0.9133
搜索,0.9132
任意,0.9129
反馈,0.9128
公众,0.9125
储存,0.9125
用到,0.9124
文字,0.9124
受损,0.9122
月刊,0.9121
数码,0.9121
绕行,0.9121
库中,0.9121
枚举,0.9121
取值,0.9120
单机,0.9119
型号,0.9119
无关,0.9119
解释,0.9119
长度,0.9118
表示,0.9118
民族,0.9118
辅助,0.9118
Absrtact,0.9117
expounds,0.9117
applying,0.9117
登陆,0.9116
山东,0.9114
ltimedia,0.9113
表中,0.9112
西南,0.9111
发动,0.9111
改进,0.9111
提前,0.9111
应当,0.9109
缺少,0.9107
分担,0.9106
光纤,0.9106
切断,0.9106
教授,0.9102
兼容,0.9101
互通,0.9099
是从,0.9097
诸如,0.9096
沈阳,0.9096
预设,0.9094
频率,0.9093
高出,0.9093
开源,0.9092
三态,0.9090
分组,0.9090
网电,0.9090
位宽,0.9090
送入,0.9090
开封,0.9089
过于,0.9089
名字,0.9089
展开,0.9089
纳入,0.9088
Yuandong,0.9086
conducts,0.9086
流入,0.9086
时期,0.9085
参与,0.9084
视为,0.9084
授予,0.9083
检验,0.9080
简称,0.9080
形态,0.9080
通道,0.9078
运算,0.9077
适合,0.9077
示例,0.9075
网管,0.9075
建业,0.9074
绕过,0.9073
载荷,0.9070
态势,0.9067
Xianyang,0.9066
promotes,0.9066
Problems,0.9066
restrict,0.9066
greatest,0.9066
下降,0.9065
泛滥,0.9065
弹性,0.9061
作出,0.9060
完备,0.9060
explains,0.9059
tracking,0.9059
携带,0.9059
文静,0.9058
建模,0.9058
环节,0.9058
适配,0.9058
凭证,0.9058
自主,0.9058
散列,0.9058
研判,0.9058
Software,0.9058
Parallel,0.9058
wireless,0.9058
Workshop,0.9058
Bauderon,0.9058
Grammars,0.9058
Sungchul,0.9058
Dyanamic,0.9058
GLOBECOM,0.9058
Paterson,0.9058
Commerce,0.9057
studying,0.9057
enjoying,0.9057
threaten,0.9057
INTRANET,0.9057
源头,0.9056
business,0.9052
function,0.9052
invaders,0.9052
consumer,0.9051
西安电子科技大学,0.9051
能否,0.9050
遍历,0.9050
校验,0.9049
Embedded,0.9047
Boundary,0.9047
terminal,0.9047
combines,0.9047
Stateful,0.9047
enhances,0.9047
S3C2440X,0.9047
CC,0.9045
跨站,0.9044
终止,0.9041
Zhejiang,0.9040
Province,0.9040
H423000R,0.9040
整合,0.9037
Nanchong,0.9037
realizes,0.9037
provided,0.9037
Lockheed,0.9037
YFZJ0086,0.9037
国家自然科学基金,0.9037
Jonathan,0.9037
Topology,0.9037
openvas1,0.9037
filtered,0.9037
awaiting,0.9037
Severity,0.9037
Location,0.9037
RES61555,0.9037
FAKARIAH,0.9037
knocking,0.9037
scanning,0.9037
Forensic,0.9037
Approach,0.9037
tutorial,0.9037
SECURITY,0.9037
Informed,0.9037
acoustic,0.9037
Savvides,0.9037
Mobility,0.9037
限定,0.9035
Changsha,0.9030
Hardware,0.9030
Specific,0.9030
Netlogic,0.9030
IOSPress,0.9030
detailed,0.9030
UNREACH4,0.9030
plugbase,0.9030
automake,0.9030
register,0.9030
IPTABLES,0.9030
Tracking,0.9030
超出,0.9025
Infotech,0.9022
clearing,0.9022
DataBase,0.9022
huangwj2,0.9019
physical,0.9019
Decision,0.9019
Function,0.9019
products,0.9019
Mingyuan,0.9019
Zhenchen,0.9019
Shiqiang,0.9019
Wenjing1,0.9019
Zhirong1,0.9019
exposing,0.9019
spective,0.9019
presents,0.9019
过渡,0.9018
术语,0.9014
拖库,0.9014
替换,0.9014
聊天,0.9014
控件,0.9014
查阅,0.9014
导出,0.9014
掉电,0.9014
失性,0.9014
通知,0.9014
并能,0.9014
合并,0.9014
注销,0.9014
裁剪,0.9014
重启,0.9014
中长,0.9014
强度,0.9014
会议,0.9014
行数,0.9014
无误,0.9014
Messages,0.9005
Shortest,0.9005
Language,0.9005
Resource,0.9005
Yuxiong,0.8539
Central,0.8539
Desheng,0.8539
Jiangsu,0.8539
人民教育出版社,0.8539
Hexiang,0.8508
address,0.8507
serious,0.8506
Service,0.8501
achieve,0.8500
Netwook,0.8488
ZHANGHJ,0.8488
Shaanxi,0.8488
economy,0.8488
however,0.8488
degrees,0.8488
Fasheng,0.8481
Guizhou,0.8481
Finance,0.8481
concept,0.8481
several,0.8481
finally,0.8481
certain,0.8481
Intemet,0.8480
NCTINFO,0.8480
Firstly,0.8480
unknown,0.8480
rapidly,0.8480
happens,0.8480
display,0.8480
further,0.8480
threats,0.8480
overall,0.8480
Yudhvir,0.8480
schemes,0.8480
Jiannog,0.8480
Attacks,0.8480
Olivier,0.8480
Context,0.8480
Lecture,0.8480
Kwangjo,0.8480
Zhihong,0.8479
Tourism,0.8479
frewall,0.8479
entered,0.8479
brought,0.8479
leakage,0.8479
privacy,0.8479
briefly,0.8479
without,0.8474
Marcham,0.8474
GLONASS,0.8474
Traffic,0.8474
Biggest,0.8474
DonaldF,0.8474
Towsley,0.8474
becomes,0.8469
嵌入式操作系统,0.8469
DEVICOM,0.8469
Samsung,0.8469
Junjian,0.8462
Weidong,0.8462
Company,0.8462
usually,0.8462
focuses,0.8462
explore,0.8462
Browser,0.8462
Cookies,0.8462
Referen,0.8462
Unicode,0.8462
Natural,0.8459
Edition,0.8459
Affairs,0.8459
Through,0.8459
chunlin,0.8459
YFH0120,0.8459
Bennett,0.8459
FreeBSD,0.8459
OpenBSD,0.8459
project,0.8459
Against,0.8459
Warfare,0.8459
清华大学出版社,0.8459
MICHAEL,0.8459
Conceal,0.8459
EDMOYLE,0.8459
Support,0.8459
Taishan,0.8459
Medical,0.8459
reality,0.8459
applies,0.8459
balance,0.8459
exports,0.8459
sensing,0.8459
Dynamic,0.8459
grained,0.8459
sensors,0.8459
INFOCOM,0.8459
Levente,0.8459
MobiHOC,0.8459
packets,0.8452
ternary,0.8452
results,0.8452
Windows,0.8452
Content,0.8452
Circuit,0.8452
Stratix,0.8452
physics,0.8452
linkage,0.8452
include,0.8452
SOURCES,0.8452
iptabes,0.8452
VERSION,0.8452
Libpcap,0.8452
Thought,0.8444
GateWay,0.8444
Offices,0.8444
国际电工委员会,0.8442
Example,0.8442
Typical,0.8442
Synergy,0.8442
Huirong,0.8442
Transit,0.8442
Railway,0.8442
ponents,0.8442
academy,0.8442
哈尔滨工程大学,0.8442
Zhenyao,0.8442
anomaly,0.8442
profile,0.8442
Siyuan2,0.8442
service,0.8442
quality,0.8442
However,0.8442
details,0.8442
concise,0.8442
forgery,0.8427
Uniform,0.8427
Locator,0.8427
et,0.8239
age,0.8124
ip,0.8032
so,0.7873
should,0.7872
Theory,0.7841
theory,0.7841
Haojun,0.7821
starts,0.7821
extent,0.7821
recent,0.7814
higher,0.7814
Shuhan,0.7814
Timber,0.7814
AModel,0.7813
growth,0.7813
highly,0.7813
北京邮电大学,0.7813
Sharma,0.7813
Yogesh,0.7813
Victor,0.7813
Issues,0.7813
Future,0.7813
Karlof,0.7813
Wagner,0.7813
Michel,0.7813
Volume,0.7813
Groups,0.7813
Riyami,0.7813
Twente,0.7813
saving,0.7812
global,0.7812
hoping,0.7812
FCTRIC,0.7810
Bureau,0.7806
likely,0.7806
obtain,0.7806
Walker,0.7806
全球定位系统,0.7806
Cities,0.7806
eurity,0.7806
Secret,0.7806
Telnet,0.7806
Accept,0.7806
Xscale,0.7802
CDB082,0.7802
XScale,0.7802
MANUAL,0.7802
Supply,0.7795
xnmdzk,0.7792
Normal,0.7792
Ethnic,0.7792
permit,0.7792
Martin,0.7792
Format,0.7792
Client,0.7792
SHA256,0.7792
Length,0.7792
Saving,0.7792
teston,0.7792
replay,0.7792
Strong,0.7792
Nessus,0.7792
MAURYA,0.7792
jounal,0.7792
Export,0.7791
Router,0.7791
energy,0.7791
Robust,0.7791
Robots,0.7791
Hawaii,0.7791
Capkun,0.7791
Hubaux,0.7791
resist,0.7785
stable,0.7785
icloud,0.7785
CHAOHC,0.7785
SHARMA,0.7785
tching,0.7785
IJCNIS,0.7785
mature,0.7785
Option,0.7785
decode,0.7785
minute,0.7785
Helper,0.7785
helper,0.7785
issues,0.7777
taking,0.7777
period,0.7777
Branch,0.7777
csrzic,0.7774
ofrail,0.7774
Output,0.7774
Verify,0.7774
future,0.7774
Chenxi,0.7774
Shuhui,0.7774
things,0.7774
toward,0.7774
eroded,0.7774
closed,0.7774
severe,0.7774
review,0.7774
tifies,0.7774
Border,0.7759
Socket,0.7759
Tunnel,0.7759
数量,0.7756
依赖,0.7660
股份,0.7529
virus,0.7101
Plain,0.7082
Cheng,0.7074
Group,0.7070
local,0.7069
State,0.7034
计算机专业,0.7032
focus,0.7028
Kuiye,0.7025
Kaili,0.7025
daily,0.7025
服务器软件,0.7025
Huang,0.7025
利用计算机,0.7025
Cloud,0.7024
Chaba,0.7024
Singh,0.7024
Gupta,0.7024
Leung,0.7024
Henry,0.7024
Chris,0.7024
David,0.7024
Notes,0.7024
costs,0.7023
walks,0.7023
occur,0.7023
SHWED,0.7023
进入计算机,0.7023
First,0.7021
POWFR,0.7021
Hubei,0.7017
staff,0.7017
found,0.7017
DARPA,0.7017
fraud,0.7017
build,0.7013
Fiash,0.7013
TP319,0.7006
stage,0.7006
Nginx,0.7006
faced,0.7002
Chain,0.7002
pyzg1,0.7002
YC150,0.7002
knopd,0.7002
nmap1,0.7002
after,0.7002
YUNOS,0.7002
Guide,0.7002
KUMAR,0.7002
CYBER,0.7002
TOOLS,0.7002
Tools,0.7002
Gower,0.7002
ISACA,0.7002
Taian,0.7002
given,0.7002
CISCO,0.7002
Girod,0.7002
range,0.7002
finge,0.7002
Italy,0.7002
Joint,0.7002
Helps,0.7002
TP302,0.6996
field,0.6996
Cache,0.6996
FLASH,0.6996
SINGH,0.6996
Rabin,0.6996
cheng,0.6996
meets,0.6996
needs,0.6996
Reset,0.6996
Space,0.6996
help0,0.6996
stats,0.6996
hopes,0.6988
Email,0.6988
Citat,0.6985
drive,0.6985
zones,0.6985
Value,0.6985
x0000,0.6985
xFF00,0.6985
Liang,0.6985
Jikai,0.6985
urban,0.6985
Yihua,0.6985
Shuai,0.6985
Libin,0.6985
motor,0.6985
CHANG,0.6985
Jiyu1,0.6985
Times,0.6985
along,0.6985
their,0.6985
Hyper,0.6979
互联网协议,0.6970
Intra,0.6970
Media,0.6970
Query,0.6970
World,0.6970
服务器返回,0.6970
Video,0.6970
SQL92,0.6970
OS,0.6732
对称,0.6508
变电,0.6262
南京,0.6252
种类,0.6209
机密,0.6196
办法,0.6188
life,0.6182
广东,0.6178
更佳,0.6178
基数,0.6178
患及,0.6178
加系,0.6178
恶性,0.6178
机上,0.6178
留下,0.6178
自保,0.6178
找到,0.6178
本机,0.6178
创造,0.6178
脚步,0.6178
刘星,0.6178
郴州,0.6178
找出,0.6172
绍兴,0.6172
廉价,0.6172
报头,0.6172
不受,0.6172
密文,0.6171
制造,0.6159
探究,0.6157
模式识别,0.6153
精力,0.6153
电源,0.6149
现实,0.6144
界定,0.6141
MB,0.6136
陕西,0.6133
谋取,0.6133
电商,0.6133
辽宁,0.6131
名义,0.6131
截收,0.6131
免受,0.6131
好比,0.6131
城门,0.6131
内向,0.6131
外流,0.6131
追踪,0.6131
调节,0.6131
表来,0.6131
比重,0.6131
有力,0.6131
定向,0.6131
滞留,0.6131
交到,0.6131
边缘,0.6131
架设,0.6131
营造,0.6131
董毅,0.6131
武强,0.6131
敷设,0.6131
采购,0.6131
主变,0.6131
kV,0.6131
预案,0.6131
到货,0.6131
交接,0.6131
试验,0.6131
问答,0.6131
检修,0.6131
习惯,0.6131
来源,0.6131
得出,0.6128
商业,0.6125
治理,0.6119
贵州,0.6119
受众,0.6119
应从,0.6118
用电,0.6118
相应措施,0.6117
paid,0.6117
well,0.6117
表现形式,0.6117
智能家居,0.6117
键盘,0.6116
跨越,0.6116
张辉,0.6116
拨号,0.6116
防备,0.6116
指数,0.6116
监听,0.6116
废除,0.6116
无锡,0.6113
节约,0.6113
变动,0.6113
定期,0.6112
形象,0.6112
四川,0.6110
分子,0.6110
制作,0.6110
维新,0.6110
僵尸,0.6110
植入,0.6110
串联,0.6110
At,0.6110
金融,0.6110
原有,0.6109
有序,0.6105
变成,0.6105
华为,0.6104
包头,0.6103
财务,0.6103
木林,0.6103
蓝色,0.6103
导航,0.6103
北斗,0.6103
青岛,0.6103
诈骗,0.6103
泄密,0.6103
转过,0.6103
抓取,0.6103
放到,0.6103
材料,0.6102
世纪,0.6102
享受,0.6102
It,0.6101
网段,0.6099
建议,0.6098
态度,0.6098
侵袭,0.6098
申请,0.6098
笔者,0.6096
制订,0.6094
复位,0.6094
记忆,0.6094
未能,0.6094
行动,0.6092
便于,0.6091
脚本,0.6090
save,0.6089
图像,0.6088
串口,0.6088
协助,0.6088
回复,0.6087
加速,0.6087
历史,0.6086
实践经验,0.6086
监测技术,0.6086
传递数据,0.6086
建立联系,0.6086
地址映射,0.6086
概括,0.6086
汉族,0.6085
许可,0.6085
收缩,0.6084
甘肃,0.6084
维持,0.6084
指路,0.6084
现存,0.6084
高层,0.6084
原址,0.6084
分享,0.6084
宽带,0.6084
并用,0.6084
拥挤,0.6084
制止,0.6084
地点,0.6084
乡镇,0.6084
归类,0.6084
审核,0.6082
看出,0.6082
不想,0.6082
拓展,0.6082
提到,0.6081
囊括,0.6081
时能,0.6081
理想,0.6080
构件,0.6079
发来,0.6079
英才,0.6079
有着,0.6078
价格,0.6078
讨论,0.6078
克服,0.6078
节省,0.6078
所需,0.6077
突破,0.6077
弥补,0.6075
加快,0.6074
开销,0.6073
零信,0.6073
国密,0.6073
CF,0.6073
预防,0.6073
可控,0.6073
公用,0.6073
外出,0.6073
放开,0.6073
牧园,0.6073
ping,0.6073
欺骗,0.6073
值得,0.6072
炸弹,0.6071
带有,0.6071
登记,0.6071
干扰,0.6070
出行,0.6070
职能,0.6070
提醒,0.6070
娱乐,0.6069
花费,0.6069
消耗,0.6069
立体,0.6069
得以,0.6069
总线,0.6069
调试,0.6069
前景,0.6069
长沙,0.6069
网卡,0.6068
查杀,0.6068
侵害,0.6068
上网,0.6068
打包,0.6068
合规,0.6068
创新,0.6068
出发,0.6067
国际商贸,0.6066
技术落后,0.6066
个人用户,0.6066
地理环境,0.6066
总体设计,0.6066
数据保护,0.6066
充分考虑,0.6066
防范措施,0.6066
计算技术,0.6066
暴力,0.6066
扰乱,0.6065
难题,0.6063
围绕,0.6063
单向,0.6063
开头,0.6062
体积,0.6060
可知,0.6060
解扰,0.6060
包内,0.6060
食品,0.6060
构筑,0.6060
河南,0.6060
取证,0.6060
互补,0.6060
Tree,0.6060
Node,0.6060
共用,0.6060
func,0.6060
原型,0.6060
变量,0.6060
放入,0.6060
赋值,0.6060
made,0.6059
管理体系,0.6059
利用自身,0.6059
网络通讯,0.6059
网络体系,0.6059
实现目标,0.6059
敏感数据,0.6059
关键所在,0.6059
系统控制,0.6059
市场份额,0.6059
权威认证,0.6059
命名,0.6059
热点问题,0.6059
wide,0.6059
通讯设备,0.6059
机密文件,0.6059
传输数据,0.6059
智能算法,0.6059
指纹识别,0.6059
人脸识别,0.6059
核心思想,0.6059
传播速度,0.6059
重要文件,0.6059
专业技能,0.6059
信息时代,0.6059
休眠状态,0.6059
电源插座,0.6059
妥善解决,0.6058
档案管理,0.6058
符合要求,0.6058
简单易行,0.6058
充分发挥,0.6058
内部人员,0.6058
管理软件,0.6058
制造厂商,0.6058
山西大学,0.6058
山西太原,0.6058
电脑病毒,0.6058
保障体系,0.6058
科技开发,0.6058
增长速度,0.6058
HIDS,0.6058
DIDS,0.6058
IaaS,0.6058
PaaS,0.6058
SaaS,0.6058
数据中心,0.6058
管理费用,0.6058
系统文件,0.6058
远远不够,0.6058
维护费用,0.6058
时代周刊,0.6058
Ritu,0.6058
Kuri,0.6058
Kirk,0.6058
Wong,0.6058
Zeen,0.6058
LNCS,0.6058
Link,0.6058
收发,0.6057
Biao,0.6057
技术学校,0.6057
role,0.6057
only,0.6057
网络时代,0.6057
控制技术,0.6057
信息网络,0.6057
有害信息,0.6057
云南昆明,0.6055
电脑设备,0.6055
快速增长,0.6055
管理工作,0.6055
迫切需要,0.6055
权威专家,0.6055
利益驱动,0.6055
面向对象,0.6055
运作,0.6055
市场,0.6054
旨在,0.6053
元素,0.6053
闭环,0.6053
捕获,0.6053
捕捉,0.6053
电子信息,0.6052
工程学院,0.6052
能源行业,0.6052
指导作用,0.6052
符合条件,0.6052
脚本语言,0.6052
管理制度,0.6052
栏目主持,0.6052
TN99,0.6052
社会秩序,0.6052
顺利开展,0.6052
收集整理,0.6052
非军事区,0.6052
参数设置,0.6052
PPDR,0.6052
Edge,0.6052
信息科学,0.6052
GNSS,0.6052
空中交通,0.6052
系统工程,0.6052
网络理论,0.6052
电子设计,0.6052
服务器版,0.6051
FDDI,0.6051
统计数据,0.6051
详细信息,0.6051
deny,0.6051
预先安排,0.6051
控制电路,0.6051
数据通路,0.6051
实际操作,0.6051
